CO,id,time,NOx
164.78,idm_0,0.1,1.2
163.5,idm_0,0.2,1.21
162.24,idm_0,0.3,1.21
161.0,idm_0,0.4,1.21
159.78,idm_0,0.5,1.21
158.57,idm_0,0.6,1.21
157.39,idm_0,0.7,1.2
156.23,idm_0,0.8,1.2
155.08,idm_0,0.9,1.2
153.96,idm_0,1.0,1.2
152.85,idm_0,1.1,1.2
151.77,idm_0,1.2,1.2
150.71,idm_0,1.3,1.2
149.66,idm_0,1.4,1.19
148.64,idm_0,1.5,1.19
147.64,idm_0,1.6,1.19
146.66,idm_0,1.7,1.19
145.7,idm_0,1.8,1.18
144.76,idm_0,1.9,1.18
143.84,idm_0,2.0,1.18
142.94,idm_0,2.1,1.17
142.07,idm_0,2.2,1.17
141.21,idm_0,2.3,1.17
140.38,idm_0,2.4,1.16
139.57,idm_0,2.5,1.16
138.78,idm_0,2.6,1.16
138.01,idm_0,2.7,1.15
137.26,idm_0,2.8,1.15
136.53,idm_0,2.9,1.14
135.82,idm_0,3.0,1.14
135.13,idm_0,3.1,1.14
134.46,idm_0,3.2,1.13
133.82,idm_0,3.3,1.13
133.19,idm_0,3.4,1.13
132.58,idm_0,3.5,1.12
131.99,idm_0,3.6,1.12
131.41,idm_0,3.7,1.12
130.86,idm_0,3.8,1.11
130.32,idm_0,3.9,1.11
129.8,idm_0,4.0,1.1
129.3,idm_0,4.1,1.1
128.82,idm_0,4.2,1.1
128.35,idm_0,4.3,1.1
127.9,idm_0,4.4,1.09
127.46,idm_0,4.5,1.09
127.04,idm_0,4.6,1.09
126.63,idm_0,4.7,1.08
126.24,idm_0,4.8,1.08
125.86,idm_0,4.9,1.08
125.5,idm_0,5.0,1.07
125.15,idm_0,5.1,1.07
124.81,idm_0,5.2,1.07
124.48,idm_0,5.3,1.07
124.17,idm_0,5.4,1.06
123.87,idm_0,5.5,1.06
123.58,idm_0,5.6,1.06
123.3,idm_0,5.7,1.06
123.03,idm_0,5.8,1.06
122.77,idm_0,5.9,1.05
122.52,idm_0,6.0,1.05
122.29,idm_0,6.1,1.05
122.06,idm_0,6.2,1.05
121.84,idm_0,6.3,1.05
121.62,idm_0,6.4,1.04
121.42,idm_0,6.5,1.04
121.23,idm_0,6.6,1.04
121.04,idm_0,6.7,1.04
120.86,idm_0,6.8,1.04
120.69,idm_0,6.9,1.04
120.52,idm_0,7.0,1.04
120.36,idm_0,7.1,1.03
120.21,idm_0,7.2,1.03
120.06,idm_0,7.3,1.03
119.92,idm_0,7.4,1.03
119.79,idm_0,7.5,1.03
119.66,idm_0,7.6,1.03
119.53,idm_0,7.7,1.03
119.42,idm_0,7.8,1.03
119.3,idm_0,7.9,1.03
119.19,idm_0,8.0,1.02
119.09,idm_0,8.1,1.02
118.99,idm_0,8.2,1.02
118.89,idm_0,8.3,1.02
118.8,idm_0,8.4,1.02
118.71,idm_0,8.5,1.02
118.63,idm_0,8.6,1.02
118.55,idm_0,8.7,1.02
118.47,idm_0,8.8,1.02
118.4,idm_0,8.9,1.02
118.33,idm_0,9.0,1.02
118.26,idm_0,9.1,1.02
118.19,idm_0,9.2,1.02
118.13,idm_0,9.3,1.01
118.07,idm_0,9.4,1.01
118.01,idm_0,9.5,1.01
117.96,idm_0,9.6,1.01
117.91,idm_0,9.7,1.01
117.86,idm_0,9.8,1.01
117.81,idm_0,9.9,1.01
117.76,idm_0,10.0,1.01
117.72,idm_0,10.1,1.01
117.68,idm_0,10.2,1.01
117.63,idm_0,10.3,1.01
117.6,idm_0,10.4,1.01
117.56,idm_0,10.5,1.01
117.52,idm_0,10.6,1.01
117.49,idm_0,10.7,1.01
117.46,idm_0,10.8,1.01
117.43,idm_0,10.9,1.01
117.4,idm_0,11.0,1.01
117.37,idm_0,11.1,1.01
117.34,idm_0,11.2,1.01
117.32,idm_0,11.3,1.01
117.29,idm_0,11.4,1.01
117.27,idm_0,11.5,1.01
117.24,idm_0,11.6,1.01
117.22,idm_0,11.7,1.01
117.2,idm_0,11.8,1.01
117.18,idm_0,11.9,1.01
117.16,idm_0,12.0,1.01
117.14,idm_0,12.1,1.01
117.13,idm_0,12.2,1.01
117.11,idm_0,12.3,1.01
117.09,idm_0,12.4,1.01
117.08,idm_0,12.5,1.01
117.06,idm_0,12.6,1.01
117.05,idm_0,12.7,1.01
117.04,idm_0,12.8,1.01
117.02,idm_0,12.9,1.01
117.01,idm_0,13.0,1.01
117.0,idm_0,13.1,1.0
116.99,idm_0,13.2,1.0
116.98,idm_0,13.3,1.0
116.97,idm_0,13.4,1.0
116.96,idm_0,13.5,1.0
116.95,idm_0,13.6,1.0
116.94,idm_0,13.7,1.0
116.93,idm_0,13.8,1.0
116.92,idm_0,13.9,1.0
116.91,idm_0,14.0,1.0
116.91,idm_0,14.1,1.0
116.9,idm_0,14.2,1.0
116.89,idm_0,14.3,1.0
116.89,idm_0,14.4,1.0
116.88,idm_0,14.5,1.0
116.87,idm_0,14.6,1.0
116.87,idm_0,14.7,1.0
116.86,idm_0,14.8,1.0
116.86,idm_0,14.9,1.0
116.85,idm_0,15.0,1.0
116.85,idm_0,15.1,1.0
116.84,idm_0,15.2,1.0
116.84,idm_0,15.3,1.0
116.83,idm_0,15.4,1.0
116.83,idm_0,15.5,1.0
116.83,idm_0,15.6,1.0
116.82,idm_0,15.7,1.0
116.82,idm_0,15.8,1.0
116.82,idm_0,15.9,1.0
116.81,idm_0,16.0,1.0
116.81,idm_0,16.1,1.0
116.81,idm_0,16.2,1.0
116.8,idm_0,16.3,1.0
116.8,idm_0,16.4,1.0
116.8,idm_0,16.5,1.0
116.8,idm_0,16.6,1.0
116.79,idm_0,16.7,1.0
116.79,idm_0,16.8,1.0
116.79,idm_0,16.9,1.0
116.79,idm_0,17.0,1.0
116.78,idm_0,17.1,1.0
116.78,idm_0,17.2,1.0
116.78,idm_0,17.3,1.0
116.78,idm_0,17.4,1.0
116.78,idm_0,17.5,1.0
116.78,idm_0,17.6,1.0
116.77,idm_0,17.7,1.0
116.77,idm_0,17.8,1.0
116.77,idm_0,17.9,1.0
116.77,idm_0,18.0,1.0
116.77,idm_0,18.1,1.0
116.77,idm_0,18.2,1.0
116.76,idm_0,18.3,1.0
116.76,idm_0,18.4,1.0
116.76,idm_0,18.5,1.0
116.76,idm_0,18.6,1.0
116.76,idm_0,18.7,1.0
116.76,idm_0,18.8,1.0
116.76,idm_0,18.9,1.0
116.75,idm_0,19.0,1.0
116.75,idm_0,19.1,1.0
116.75,idm_0,19.2,1.0
116.75,idm_0,19.3,1.0
116.75,idm_0,19.4,1.0
116.74,idm_0,19.5,1.0
116.74,idm_0,19.6,1.0
116.74,idm_0,19.7,1.0
116.74,idm_0,19.8,1.0
116.73,idm_0,19.9,1.0
116.73,idm_0,20.0,1.0
116.73,idm_0,20.1,1.0
116.72,idm_0,20.2,1.0
116.72,idm_0,20.3,1.0
116.72,idm_0,20.4,1.0
116.71,idm_0,20.5,1.0
116.71,idm_0,20.6,1.0
116.7,idm_0,20.7,1.0
116.69,idm_0,20.8,1.0
116.69,idm_0,20.9,1.0
116.68,idm_0,21.0,1.0
116.67,idm_0,21.1,1.0
116.67,idm_0,21.2,1.0
116.66,idm_0,21.3,1.01
116.65,idm_0,21.4,1.01
116.64,idm_0,21.5,1.01
116.62,idm_0,21.6,1.01
116.61,idm_0,21.7,1.01
116.6,idm_0,21.8,1.01
116.59,idm_0,21.9,1.01
116.57,idm_0,22.0,1.01
116.55,idm_0,22.1,1.01
116.54,idm_0,22.2,1.01
116.52,idm_0,22.3,1.01
116.5,idm_0,22.4,1.01
116.48,idm_0,22.5,1.01
116.45,idm_0,22.6,1.01
116.43,idm_0,22.7,1.01
116.4,idm_0,22.8,1.01
116.37,idm_0,22.9,1.01
116.34,idm_0,23.0,1.01
116.31,idm_0,23.1,1.01
116.28,idm_0,23.2,1.01
116.24,idm_0,23.3,1.01
116.2,idm_0,23.4,1.01
116.16,idm_0,23.5,1.01
116.12,idm_0,23.6,1.01
116.07,idm_0,23.7,1.01
116.02,idm_0,23.8,1.01
115.97,idm_0,23.9,1.01
115.92,idm_0,24.0,1.01
115.86,idm_0,24.1,1.01
115.8,idm_0,24.2,1.01
115.74,idm_0,24.3,1.01
115.67,idm_0,24.4,1.01
115.61,idm_0,24.5,1.02
115.53,idm_0,24.6,1.02
115.46,idm_0,24.7,1.02
115.38,idm_0,24.8,1.02
115.29,idm_0,24.9,1.02
115.2,idm_0,25.0,1.02
115.11,idm_0,25.1,1.02
115.02,idm_0,25.2,1.02
114.92,idm_0,25.3,1.02
114.81,idm_0,25.4,1.02
114.71,idm_0,25.5,1.02
114.59,idm_0,25.6,1.02
114.48,idm_0,25.7,1.02
114.35,idm_0,25.8,1.02
114.23,idm_0,25.9,1.02
114.1,idm_0,26.0,1.02
113.96,idm_0,26.1,1.03
113.82,idm_0,26.2,1.03
113.68,idm_0,26.3,1.03
113.52,idm_0,26.4,1.03
113.37,idm_0,26.5,1.03
113.21,idm_0,26.6,1.03
113.04,idm_0,26.7,1.03
112.87,idm_0,26.8,1.03
112.7,idm_0,26.9,1.03
112.51,idm_0,27.0,1.03
112.33,idm_0,27.1,1.03
112.13,idm_0,27.2,1.03
111.94,idm_0,27.3,1.03
111.73,idm_0,27.4,1.04
111.52,idm_0,27.5,1.04
