CO,NOx,time,id
164.78,1.2,0.1,idm_0
163.5,1.21,0.2,idm_0
162.24,1.21,0.3,idm_0
161.0,1.21,0.4,idm_0
159.78,1.21,0.5,idm_0
158.57,1.21,0.6,idm_0
157.39,1.2,0.7,idm_0
156.23,1.2,0.8,idm_0
155.08,1.2,0.9,idm_0
153.96,1.2,1.0,idm_0
152.85,1.2,1.1,idm_0
151.77,1.2,1.2,idm_0
150.71,1.2,1.3,idm_0
149.66,1.19,1.4,idm_0
148.64,1.19,1.5,idm_0
147.64,1.19,1.6,idm_0
146.66,1.19,1.7,idm_0
145.7,1.18,1.8,idm_0
144.76,1.18,1.9,idm_0
143.84,1.18,2.0,idm_0
142.94,1.17,2.1,idm_0
142.07,1.17,2.2,idm_0
141.21,1.17,2.3,idm_0
140.38,1.16,2.4,idm_0
139.57,1.16,2.5,idm_0
138.78,1.16,2.6,idm_0
138.01,1.15,2.7,idm_0
137.26,1.15,2.8,idm_0
136.53,1.14,2.9,idm_0
135.82,1.14,3.0,idm_0
135.13,1.14,3.1,idm_0
134.46,1.13,3.2,idm_0
133.82,1.13,3.3,idm_0
133.19,1.13,3.4,idm_0
132.58,1.12,3.5,idm_0
131.99,1.12,3.6,idm_0
131.41,1.12,3.7,idm_0
130.86,1.11,3.8,idm_0
130.32,1.11,3.9,idm_0
129.8,1.1,4.0,idm_0
129.3,1.1,4.1,idm_0
128.82,1.1,4.2,idm_0
128.35,1.1,4.3,idm_0
127.9,1.09,4.4,idm_0
127.46,1.09,4.5,idm_0
127.04,1.09,4.6,idm_0
126.63,1.08,4.7,idm_0
126.24,1.08,4.8,idm_0
125.86,1.08,4.9,idm_0
125.5,1.07,5.0,idm_0
125.15,1.07,5.1,idm_0
124.81,1.07,5.2,idm_0
124.48,1.07,5.3,idm_0
124.17,1.06,5.4,idm_0
123.87,1.06,5.5,idm_0
123.58,1.06,5.6,idm_0
123.3,1.06,5.7,idm_0
123.03,1.06,5.8,idm_0
122.77,1.05,5.9,idm_0
