road_grade(%),acceleration(m/s^2),speed(m/s),Tacoma(g/s),Tacoma_fit(g/s),Tacoma(gal/hr),Tacoma_fit(gal/hr),Tacoma(KW),Tacoma_fit(KW),Prius(SOC %/s),Prius_fit(KW)
0,-3,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-3,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.54871940694454e-05,-11.69
0,-3,10,0,0,0,0,0,0,-7.69535592950981e-05,-23.38
0,-3,15,0,0,0,0,0,0,-0.000116458349774967,-35.07
0,-3,20,0,0,0,0,0,0,-0.000153287003370266,-46.76
0,-3,25,0,0,0,0,0,0,-0.000188081089779002,-58.45
0,-3,30,0,0,0,0,0,0,-0.000220255167062945,-70.14
0,-2.5,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-2.5,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.54871940694454e-05,-11.69
0,-2.5,10,0,0,0,0,0,0,-7.69535592950981e-05,-23.38
0,-2.5,15,0,0,0,0,0,0,-0.000116458349774967,-35.07
0,-2.5,20,0,0,0,0,0,0,-0.000153287003370266,-46.76
0,-2.5,25,0,0,0,0,0,0,-0.000188081089779002,-58.45
0,-2.5,30,0,0,0,0,0,0,-0.000220255167062945,-70.14
0,-2,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-2,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.54871940694454e-05,-11.69
0,-2,10,0,0,0,0,0,0,-7.69535592950981e-05,-23.38
0,-2,15,0,0,0,0,0,0,-0.000116458349774967,-35.07
0,-2,20,0,0,0,0,0,0,-0.000153287003370266,-46.76
0,-2,25,0,0,0,0,0,0,-0.000188081089779002,-58.45
0,-2,30,0,0,0,0,0,0,-0.000219898832587135,-70.14
0,-1.5,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-1.5,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-3.25561591348804e-05,-10.271045160915
0,-1.5,10,0,0,0,0,0,0,-6.63944522434643e-05,-20.27904442157
0,-1.5,15,0,0,0,0,0,0,-9.75752995002611e-05,-29.773774871775
0,-1.5,20,0,0,0,0,0,0,-0.000125409125499782,-38.50592258403
0,-1.5,25,0,0,0,0,0,0,-0.000149176326217658,-46.226173630835
0,-1.5,30,0,0,0,0,0,0,-0.000168098899055845,-52.68521408469
0,-1,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-1,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-2.20548454687974e-05,-6.658177660915
0,-1,10,0,0,0,0,0,0,-4.41187234444278e-05,-13.05330942157
0,-1,15,0,0,0,0,0,0,-6.40570164847835e-05,-18.935172371775
0,-1,20,0,0,0,0,0,0,-8.11312166655779e-05,-24.05445258403
0,-1,25,0,0,0,0,0,0,-9.46028296724449e-05,-28.161836130835
0,-1,30,0,0,0,0,0,0,-0.000103742492341937,-31.00800908469
0,-0.5,0,0.221939015830998,0.202898145738508,0.248342670601163,0.22703654508,3.72514005901745,3.4055481762,0,0.00104601
0,-0.5,5,0.221939015830998,0,0.248342670601163,0,3.72514005901745,0,-1.05375387210715e-05,-3.045310160915
0,-0.5,10,0,0,0,0,0,0,-2.03458170463669e-05,-5.82757442157
0,-0.5,15,0,0,0,0,0,0,-2.83134794828346e-05,-8.096569871775
0,-0.5,20,0,0,0,0,0,0,-3.36349054121418e-05,-9.60298258403
0,-0.5,25,0,0,0,0,0,0,-3.54943418155165e-05,-10.097498630835
0,-0.5,30,0,0.0229074063027033,0,0.0256326560540001,0,0.384489840810002,-3.30813003554099e-05,-9.33080408469
0,0,0,0.200487388049937,0.202898145738508,0.224338984219372,0.22703654508,3.36508476329058,3.4055481762,0,0.00104601
0,0,5,0.25334167260449,0.242980516160659,0.283481240617348,0.271887437463167,4.25221860926022,4.0783115619475,2.03157739236523e-06,0.653115465
0,0,10,0.333366925874865,0.334679208358044,0.373026943243302,0.374495345431333,5.59540414864953,5.61743018147,5.01788707628445e-06,1.60893047
